id,title,depth,href
1,Model basics,1,https://dcl-model.stanford.edu/model_basics.html
1.1,What is a model?,2,https://dcl-model.stanford.edu/model_basics.html#what-is-a-model
1.2,Supervised learning,2,https://dcl-model.stanford.edu/model_basics.html#supervised-learning
1.3,Choosing a function family,2,https://dcl-model.stanford.edu/model_basics.html#choosing-a-function-family
1.4,Classical modeling,2,https://dcl-model.stanford.edu/model_basics.html#classical-modeling
1.5,Bayesian modeling,2,https://dcl-model.stanford.edu/model_basics.html#bayesian-modeling
1.6,Summary,2,https://dcl-model.stanford.edu/model_basics.html#summary
2,Understand your data,1,https://dcl-model.stanford.edu/understand_your_data.html
2.1,Understand your variables,2,https://dcl-model.stanford.edu/understand_your_data.html#understand-your-variables
2.1.1,Read the documentation,3,https://dcl-model.stanford.edu/understand_your_data.html#read-the-documentation
2.1.2,glimpse(),3,https://dcl-model.stanford.edu/understand_your_data.html#glimpse
2.1.3,summary(),3,https://dcl-model.stanford.edu/understand_your_data.html#summary-1
2.2,Check for problems,2,https://dcl-model.stanford.edu/understand_your_data.html#check-for-problems
2.3,1D EDA,2,https://dcl-model.stanford.edu/understand_your_data.html#d-eda
2.3.1,Variable types,3,https://dcl-model.stanford.edu/understand_your_data.html#variable-types
2.3.2,Continuous variables,3,https://dcl-model.stanford.edu/understand_your_data.html#continuous-variables
2.3.3,Discrete variables,3,https://dcl-model.stanford.edu/understand_your_data.html#discrete-variables
2.4,Summary,2,https://dcl-model.stanford.edu/understand_your_data.html#summary-2
3,Determine functional form,1,https://dcl-model.stanford.edu/determine_functional_form.html
3.1,Formulas,2,https://dcl-model.stanford.edu/determine_functional_form.html#formulas
3.2,Continuous predictors,2,https://dcl-model.stanford.edu/determine_functional_form.html#continuous-predictors
3.2.1,Transformations,3,https://dcl-model.stanford.edu/determine_functional_form.html#transformations
3.2.2,Visual checks,3,https://dcl-model.stanford.edu/determine_functional_form.html#visual-checks
3.3,Discrete predictors,2,https://dcl-model.stanford.edu/determine_functional_form.html#discrete-predictors
3.3.1,Functional form,3,https://dcl-model.stanford.edu/determine_functional_form.html#functional-form
3.3.2,Visual checks,3,https://dcl-model.stanford.edu/determine_functional_form.html#visual-checks-1
3.4,Summary,2,https://dcl-model.stanford.edu/determine_functional_form.html#summary-3
4,Fitting basics,1,https://dcl-model.stanford.edu/fitting_basics.html
4.1,Fitting a model,2,https://dcl-model.stanford.edu/fitting_basics.html#fitting-a-model
4.1.1,Fitting a classical model,3,https://dcl-model.stanford.edu/fitting_basics.html#fitting-a-classical-model
4.1.2,Fitting a Bayesian model,3,https://dcl-model.stanford.edu/fitting_basics.html#fitting-a-bayesian-model
4.1.3,Tidymodels,3,https://dcl-model.stanford.edu/fitting_basics.html#tidymodels
4.2,Checking a model,2,https://dcl-model.stanford.edu/fitting_basics.html#checking-a-model
4.2.1,Making predictions,3,https://dcl-model.stanford.edu/fitting_basics.html#making-predictions
4.2.2,Checking predictions,3,https://dcl-model.stanford.edu/fitting_basics.html#checking-predictions
4.2.3,Checking residuals,3,https://dcl-model.stanford.edu/fitting_basics.html#checking-residuals
4.3,Summary,2,https://dcl-model.stanford.edu/fitting_basics.html#summary-4
5,Model evaluation,1,https://dcl-model.stanford.edu/model_evaluation.html
5.1,Model overfitting,2,https://dcl-model.stanford.edu/model_evaluation.html#model-overfitting
5.2,Model selection,2,https://dcl-model.stanford.edu/model_evaluation.html#model-selection
5.2.1,Classical modeling,3,https://dcl-model.stanford.edu/model_evaluation.html#classical-modeling-1
5.2.2,Bayesian modeling,3,https://dcl-model.stanford.edu/model_evaluation.html#bayesian-modeling-1
5.3,Final model,2,https://dcl-model.stanford.edu/model_evaluation.html#final-model
5.4,Summary,2,https://dcl-model.stanford.edu/model_evaluation.html#summary-5
5.5,To learn more,2,https://dcl-model.stanford.edu/model_evaluation.html#to-learn-more
