id,title,depth,href
1,Introduction,1,https://r4ds.hadley.nz/intro.html
1.1,What you will learn,2,https://r4ds.hadley.nz/intro.html#what-you-will-learn
1.2,How this book is organized,2,https://r4ds.hadley.nz/intro.html#how-this-book-is-organized
1.3,What you won’t learn,2,https://r4ds.hadley.nz/intro.html#what-you-wont-learn
1.3.1,Modeling,3,https://r4ds.hadley.nz/intro.html#modeling
1.3.2,Big data,3,https://r4ds.hadley.nz/intro.html#big-data
1.3.3,"Python, Julia, and friends",3,https://r4ds.hadley.nz/intro.html#python-julia-and-friends
1.4,Prerequisites,2,https://r4ds.hadley.nz/intro.html#prerequisites
1.4.1,R,3,https://r4ds.hadley.nz/intro.html#r
1.4.2,RStudio,3,https://r4ds.hadley.nz/intro.html#rstudio
1.4.3,The tidyverse,3,https://r4ds.hadley.nz/intro.html#the-tidyverse
1.4.4,Other packages,3,https://r4ds.hadley.nz/intro.html#other-packages
1.5,Running R code,2,https://r4ds.hadley.nz/intro.html#running-r-code
1.6,Acknowledgments,2,https://r4ds.hadley.nz/intro.html#acknowledgments
1.7,Colophon,2,https://r4ds.hadley.nz/intro.html#colophon
2,Data visualization,1,https://r4ds.hadley.nz/data-visualize.html
2.1,Introduction,2,https://r4ds.hadley.nz/data-visualize.html#introduction
2.1.1,Prerequisites,3,https://r4ds.hadley.nz/data-visualize.html#prerequisites
2.2,First steps,2,https://r4ds.hadley.nz/data-visualize.html#first-steps
2.2.1,The penguins data frame,3,https://r4ds.hadley.nz/data-visualize.html#the-penguins-data-frame
2.2.2,Ultimate goal,3,https://r4ds.hadley.nz/data-visualize.html#sec-ultimate-goal
2.2.3,Creating a ggplot,3,https://r4ds.hadley.nz/data-visualize.html#creating-a-ggplot
2.2.4,Adding aesthetics and layers,3,https://r4ds.hadley.nz/data-visualize.html#sec-adding-aesthetics-layers
2.2.5,Exercises,3,https://r4ds.hadley.nz/data-visualize.html#exercises
2.3,ggplot2 calls,2,https://r4ds.hadley.nz/data-visualize.html#sec-ggplot2-calls
2.4,Visualizing distributions,2,https://r4ds.hadley.nz/data-visualize.html#visualizing-distributions
2.4.1,A categorical variable,3,https://r4ds.hadley.nz/data-visualize.html#a-categorical-variable
2.4.2,A numerical variable,3,https://r4ds.hadley.nz/data-visualize.html#a-numerical-variable
2.4.3,Exercises,3,https://r4ds.hadley.nz/data-visualize.html#exercises-1
2.5,Visualizing relationships,2,https://r4ds.hadley.nz/data-visualize.html#visualizing-relationships
2.5.1,A numerical and a categorical variable,3,https://r4ds.hadley.nz/data-visualize.html#a-numerical-and-a-categorical-variable
2.5.2,Two categorical variables,3,https://r4ds.hadley.nz/data-visualize.html#two-categorical-variables
2.5.3,Two numerical variables,3,https://r4ds.hadley.nz/data-visualize.html#two-numerical-variables
2.5.4,Three or more variables,3,https://r4ds.hadley.nz/data-visualize.html#three-or-more-variables
2.5.5,Exercises,3,https://r4ds.hadley.nz/data-visualize.html#exercises-2
2.6,Saving your plots,2,https://r4ds.hadley.nz/data-visualize.html#sec-ggsave
2.6.1,Exercises,3,https://r4ds.hadley.nz/data-visualize.html#exercises-3
2.7,Common problems,2,https://r4ds.hadley.nz/data-visualize.html#common-problems
2.8,Summary,2,https://r4ds.hadley.nz/data-visualize.html#summary
3,Workflow: basics,1,https://r4ds.hadley.nz/workflow-basics.html
3.1,Coding basics,2,https://r4ds.hadley.nz/workflow-basics.html#coding-basics
3.2,Comments,2,https://r4ds.hadley.nz/workflow-basics.html#comments
3.3,What’s in a name?,2,https://r4ds.hadley.nz/workflow-basics.html#sec-whats-in-a-name
3.4,Calling functions,2,https://r4ds.hadley.nz/workflow-basics.html#calling-functions
3.5,Exercises,2,https://r4ds.hadley.nz/workflow-basics.html#exercises
3.6,Summary,2,https://r4ds.hadley.nz/workflow-basics.html#summary
4,Data transformation,1,https://r4ds.hadley.nz/data-transform.html
4.1,Introduction,2,https://r4ds.hadley.nz/data-transform.html#introduction
4.1.1,Prerequisites,3,https://r4ds.hadley.nz/data-transform.html#prerequisites
4.1.2,nycflights13,3,https://r4ds.hadley.nz/data-transform.html#nycflights13
4.1.3,dplyr basics,3,https://r4ds.hadley.nz/data-transform.html#dplyr-basics
4.2,Rows,2,https://r4ds.hadley.nz/data-transform.html#rows
4.2.1,filter(),3,https://r4ds.hadley.nz/data-transform.html#filter
4.2.2,Common mistakes,3,https://r4ds.hadley.nz/data-transform.html#common-mistakes
4.2.3,arrange(),3,https://r4ds.hadley.nz/data-transform.html#arrange
4.2.4,distinct(),3,https://r4ds.hadley.nz/data-transform.html#distinct
4.2.5,Exercises,3,https://r4ds.hadley.nz/data-transform.html#exercises
4.3,Columns,2,https://r4ds.hadley.nz/data-transform.html#columns
4.3.1,mutate(),3,https://r4ds.hadley.nz/data-transform.html#sec-mutate
4.3.2,select(),3,https://r4ds.hadley.nz/data-transform.html#sec-select
4.3.3,rename(),3,https://r4ds.hadley.nz/data-transform.html#rename
4.3.4,relocate(),3,https://r4ds.hadley.nz/data-transform.html#relocate
4.3.5,Exercises,3,https://r4ds.hadley.nz/data-transform.html#exercises-1
4.4,The pipe,2,https://r4ds.hadley.nz/data-transform.html#sec-the-pipe
4.5,Groups,2,https://r4ds.hadley.nz/data-transform.html#groups
4.5.1,group_by(),3,https://r4ds.hadley.nz/data-transform.html#group_by
4.5.2,summarize(),3,https://r4ds.hadley.nz/data-transform.html#sec-summarize
4.5.3,The slice_ functions,3,https://r4ds.hadley.nz/data-transform.html#the-slice_-functions
4.5.4,Grouping by multiple variables,3,https://r4ds.hadley.nz/data-transform.html#grouping-by-multiple-variables
4.5.5,Ungrouping,3,https://r4ds.hadley.nz/data-transform.html#ungrouping
4.5.6,.by,3,https://r4ds.hadley.nz/data-transform.html#by
4.5.7,Exercises,3,https://r4ds.hadley.nz/data-transform.html#exercises-2
4.6,Case study: aggregates and sample size,2,https://r4ds.hadley.nz/data-transform.html#sec-sample-size
4.7,Summary,2,https://r4ds.hadley.nz/data-transform.html#summary
5,Workflow: code style,1,https://r4ds.hadley.nz/workflow-style.html
5.1,Names,2,https://r4ds.hadley.nz/workflow-style.html#names
5.2,Spaces,2,https://r4ds.hadley.nz/workflow-style.html#spaces
5.3,Pipes,2,https://r4ds.hadley.nz/workflow-style.html#sec-pipes
5.4,ggplot2,2,https://r4ds.hadley.nz/workflow-style.html#ggplot2
5.5,Sectioning comments,2,https://r4ds.hadley.nz/workflow-style.html#sectioning-comments
5.6,Exercises,2,https://r4ds.hadley.nz/workflow-style.html#exercises
5.7,Summary,2,https://r4ds.hadley.nz/workflow-style.html#summary
6,Data tidying,1,https://r4ds.hadley.nz/data-tidy.html
6.1,Introduction,2,https://r4ds.hadley.nz/data-tidy.html#introduction
6.1.1,Prerequisites,3,https://r4ds.hadley.nz/data-tidy.html#prerequisites
6.2,Tidy data,2,https://r4ds.hadley.nz/data-tidy.html#sec-tidy-data
6.2.1,Exercises,3,https://r4ds.hadley.nz/data-tidy.html#exercises
6.3,Lengthening data,2,https://r4ds.hadley.nz/data-tidy.html#sec-pivoting
6.3.1,Data in column names,3,https://r4ds.hadley.nz/data-tidy.html#sec-billboard
6.3.2,How does pivoting work?,3,https://r4ds.hadley.nz/data-tidy.html#how-does-pivoting-work
6.3.3,Many variables in column names,3,https://r4ds.hadley.nz/data-tidy.html#many-variables-in-column-names
6.3.4,Data and variable names in the column headers,3,https://r4ds.hadley.nz/data-tidy.html#data-and-variable-names-in-the-column-headers
6.4,Widening data,2,https://r4ds.hadley.nz/data-tidy.html#widening-data
6.4.1,How does pivot_wider() work?,3,https://r4ds.hadley.nz/data-tidy.html#how-does-pivot_wider-work
6.5,Summary,2,https://r4ds.hadley.nz/data-tidy.html#summary
7,Workflow: scripts and projects,1,https://r4ds.hadley.nz/workflow-scripts.html
7.1,Scripts,2,https://r4ds.hadley.nz/workflow-scripts.html#scripts
