id,title,depth,href
1,Software installation,1,https://dcl-workflow.stanford.edu/software.html
1.1,Mac computers,2,https://dcl-workflow.stanford.edu/software.html#mac-computers
1.2,GitHub,2,https://dcl-workflow.stanford.edu/software.html#github
1.3,Git,2,https://dcl-workflow.stanford.edu/software.html#git
1.4,R,2,https://dcl-workflow.stanford.edu/software.html#r
1.5,RStudio,2,https://dcl-workflow.stanford.edu/software.html#rstudio
1.6,R packages,2,https://dcl-workflow.stanford.edu/software.html#r-packages
1.7,Update R packages,2,https://dcl-workflow.stanford.edu/software.html#update-r-packages
1.8,Configure RStudio,2,https://dcl-workflow.stanford.edu/software.html#configure-rstudio
2,Documentation,1,https://dcl-workflow.stanford.edu/documentation.html
3,Style guide,1,https://dcl-workflow.stanford.edu/style-guide.html
3.1,Why does style matter?,2,https://dcl-workflow.stanford.edu/style-guide.html#why-does-style-matter
3.2,Style helpers,2,https://dcl-workflow.stanford.edu/style-guide.html#style-helpers
3.3,Spacing,2,https://dcl-workflow.stanford.edu/style-guide.html#spacing
3.4,Pipes,2,https://dcl-workflow.stanford.edu/style-guide.html#pipes
3.5,Verb arguments,2,https://dcl-workflow.stanford.edu/style-guide.html#verb-arguments
3.6,An indentation example,2,https://dcl-workflow.stanford.edu/style-guide.html#an-indentation-example
4,RStudio code snippets,1,https://dcl-workflow.stanford.edu/rstudio-snippets.html
4.1,tv snippet,2,https://dcl-workflow.stanford.edu/rstudio-snippets.html#tv-snippet
4.2,rscript snippet,2,https://dcl-workflow.stanford.edu/rstudio-snippets.html#rscript-snippet
5,Project introduction,1,https://dcl-workflow.stanford.edu/project-introduction.html
6,Project setup,1,https://dcl-workflow.stanford.edu/project-setup.html
6.1,Create a project,2,https://dcl-workflow.stanford.edu/project-setup.html#create-a-project
6.2,Setup GitHub,2,https://dcl-workflow.stanford.edu/project-setup.html#setup-github
6.2.1,GitHub token,3,https://dcl-workflow.stanford.edu/project-setup.html#github-token
6.2.2,use_git(),3,https://dcl-workflow.stanford.edu/project-setup.html#use_git
6.2.3,use_github(),3,https://dcl-workflow.stanford.edu/project-setup.html#use_github
7,Project organization,1,https://dcl-workflow.stanford.edu/project-organization.html
7.1,Directories,2,https://dcl-workflow.stanford.edu/project-organization.html#directories
7.1.1,data-raw,3,https://dcl-workflow.stanford.edu/project-organization.html#data-raw
7.1.2,scripts,3,https://dcl-workflow.stanford.edu/project-organization.html#scripts
7.1.3,data,3,https://dcl-workflow.stanford.edu/project-organization.html#data
7.1.4,docs,3,https://dcl-workflow.stanford.edu/project-organization.html#docs
7.1.5,eda,3,https://dcl-workflow.stanford.edu/project-organization.html#eda
7.1.6,reports,3,https://dcl-workflow.stanford.edu/project-organization.html#reports
7.2,File paths,2,https://dcl-workflow.stanford.edu/project-organization.html#file-paths
7.3,R Markdown template,2,https://dcl-workflow.stanford.edu/project-organization.html#r-markdown-template
7.4,Make,2,https://dcl-workflow.stanford.edu/project-organization.html#make
7.4.1,Create a makefile,3,https://dcl-workflow.stanford.edu/project-organization.html#create-a-makefile
7.4.2,Run Make,3,https://dcl-workflow.stanford.edu/project-organization.html#run-make
8,Scripts,1,https://dcl-workflow.stanford.edu/scripts.html
9,Getting help,1,https://dcl-workflow.stanford.edu/getting-help.html
9.1,Help yourself,2,https://dcl-workflow.stanford.edu/getting-help.html#help-yourself
9.2,Get help from others,2,https://dcl-workflow.stanford.edu/getting-help.html#get-help-from-others
9.2.1,The reprex package,3,https://dcl-workflow.stanford.edu/getting-help.html#reprex-pkg
9.2.2,More resources on asking good questions,3,https://dcl-workflow.stanford.edu/getting-help.html#more-resources-on-asking-good-questions
10,Learning more,1,https://dcl-workflow.stanford.edu/learning-more.html
