id,title,depth,href
1,Basics,1,https://dcl-wrangle.stanford.edu/manip-basics.html
1.1,dplyr basics,2,https://dcl-wrangle.stanford.edu/manip-basics.html#dplyr-basics
1.2,Filter rows with filter(),2,https://dcl-wrangle.stanford.edu/manip-basics.html#filter-rows-with-filter
1.2.1,Comparisons,3,https://dcl-wrangle.stanford.edu/manip-basics.html#comparisons
1.2.2,Logical operators,3,https://dcl-wrangle.stanford.edu/manip-basics.html#logical-operators
1.3,Add new variables with mutate(),2,https://dcl-wrangle.stanford.edu/manip-basics.html#add-new-variables-with-mutate
1.4,Grouped summaries with summarize(),2,https://dcl-wrangle.stanford.edu/manip-basics.html#grouped-summaries-with-summarize
1.5,Combining multiple operations with the pipe,2,https://dcl-wrangle.stanford.edu/manip-basics.html#combining-multiple-operations-with-the-pipe
2,Other single-table verbs,1,https://dcl-wrangle.stanford.edu/manip-one-table.html
2.1,Select,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#select
2.2,Rename,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#rename
2.3,Change column order,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#change-column-order
2.4,Transmute,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#transmute
2.5,Arrange,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#arrange
2.6,Distinct,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#distinct
2.7,Slice rows,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#slice-rows
2.8,Sample,2,https://dcl-wrangle.stanford.edu/manip-one-table.html#sample
3,Parsing,1,https://dcl-wrangle.stanford.edu/parse-basics.html
3.1,Delimited files,2,https://dcl-wrangle.stanford.edu/parse-basics.html#delimited-files
3.2,read_csv(),2,https://dcl-wrangle.stanford.edu/parse-basics.html#read_csv
4,Introduction,1,https://dcl-wrangle.stanford.edu/tidy.html
5,Basic pivoting,1,https://dcl-wrangle.stanford.edu/pivot-basic.html
5.1,Longer,2,https://dcl-wrangle.stanford.edu/pivot-basic.html#longer
5.2,Wider,2,https://dcl-wrangle.stanford.edu/pivot-basic.html#wider
5.3,Missing values,2,https://dcl-wrangle.stanford.edu/pivot-basic.html#missing-values
6,Advanced pivoting,1,https://dcl-wrangle.stanford.edu/pivot-advanced.html
6.1,Longer,2,https://dcl-wrangle.stanford.edu/pivot-advanced.html#longer-1
6.1.1,Types,3,https://dcl-wrangle.stanford.edu/pivot-advanced.html#types
6.1.2,Prefixes,3,https://dcl-wrangle.stanford.edu/pivot-advanced.html#prefixes
6.1.3,Multiple values,3,https://dcl-wrangle.stanford.edu/pivot-advanced.html#multiple-values
6.2,Wider,2,https://dcl-wrangle.stanford.edu/pivot-advanced.html#wider-1
6.2.1,Prefixes,3,https://dcl-wrangle.stanford.edu/pivot-advanced.html#prefixes-1
6.2.2,Multiple values,3,https://dcl-wrangle.stanford.edu/pivot-advanced.html#multiple-values-1
6.2.3,id_cols,3,https://dcl-wrangle.stanford.edu/pivot-advanced.html#id_cols
7,Introduction,1,https://dcl-wrangle.stanford.edu/apis.html
8,API basics,1,https://dcl-wrangle.stanford.edu/api-basics.html
8.1,What is an API?,2,https://dcl-wrangle.stanford.edu/api-basics.html#what-is-an-api
8.2,Find your API,2,https://dcl-wrangle.stanford.edu/api-basics.html#find-your-api
8.3,Craft your request,2,https://dcl-wrangle.stanford.edu/api-basics.html#craft-your-request
8.3.1,Base request,3,https://dcl-wrangle.stanford.edu/api-basics.html#base-request
8.3.2,Parameters,3,https://dcl-wrangle.stanford.edu/api-basics.html#parameters
8.4,Test your request,2,https://dcl-wrangle.stanford.edu/api-basics.html#test-your-request
8.5,Read the data into R,2,https://dcl-wrangle.stanford.edu/api-basics.html#read-the-data-into-r
8.5.1,JSON data,3,https://dcl-wrangle.stanford.edu/api-basics.html#json-data
8.5.2,All formats,3,https://dcl-wrangle.stanford.edu/api-basics.html#all-formats
8.6,Next steps,2,https://dcl-wrangle.stanford.edu/api-basics.html#next-steps
9,U.S. Census Bureau,1,https://dcl-wrangle.stanford.edu/census.html
9.1,Census Bureau basics,2,https://dcl-wrangle.stanford.edu/census.html#census-bureau-basics
9.1.1,Decennial census,3,https://dcl-wrangle.stanford.edu/census.html#decennial-census
9.1.2,ACS,3,https://dcl-wrangle.stanford.edu/census.html#acs
9.1.3,Population estimates,3,https://dcl-wrangle.stanford.edu/census.html#population-estimates
9.1.4,Choosing data,3,https://dcl-wrangle.stanford.edu/census.html#choosing-data
9.2,tidycensus,2,https://dcl-wrangle.stanford.edu/census.html#tidycensus
9.2.1,Specify a dataset,3,https://dcl-wrangle.stanford.edu/census.html#specify-a-dataset
9.2.2,Find variables,3,https://dcl-wrangle.stanford.edu/census.html#find-variables
9.2.3,Get data,3,https://dcl-wrangle.stanford.edu/census.html#get-data
9.3,Population estimates,2,https://dcl-wrangle.stanford.edu/census.html#population-estimates-1
9.3.1,Choose data,3,https://dcl-wrangle.stanford.edu/census.html#choose-data
9.3.2,Craft your request,3,https://dcl-wrangle.stanford.edu/census.html#craft-your-request-1
9.3.3,Read the data into R,3,https://dcl-wrangle.stanford.edu/census.html#read-the-data-into-r-1
10,Google Sheets,1,https://dcl-wrangle.stanford.edu/googlesheets.html
10.1,Reading,2,https://dcl-wrangle.stanford.edu/googlesheets.html#reading
10.2,Writing,2,https://dcl-wrangle.stanford.edu/googlesheets.html#writing
10.3,Finding sheets,2,https://dcl-wrangle.stanford.edu/googlesheets.html#finding-sheets
10.4,Authentication,2,https://dcl-wrangle.stanford.edu/googlesheets.html#authentication
10.4.1,Interactive session,3,https://dcl-wrangle.stanford.edu/googlesheets.html#interactive-session
10.4.2,Non-interactive session,3,https://dcl-wrangle.stanford.edu/googlesheets.html#non-interactive-session
11,rvest,1,https://dcl-wrangle.stanford.edu/rvest.html
11.1,Web page basics,2,https://dcl-wrangle.stanford.edu/rvest.html#web-page-basics
11.1.1,HTML,3,https://dcl-wrangle.stanford.edu/rvest.html#html
11.1.2,CSS,3,https://dcl-wrangle.stanford.edu/rvest.html#css
11.2,Scrape data with rvest,2,https://dcl-wrangle.stanford.edu/rvest.html#scrape-data-with-rvest
11.2.1,Read HTML,3,https://dcl-wrangle.stanford.edu/rvest.html#read-html
11.2.2,Find the CSS selector,3,https://dcl-wrangle.stanford.edu/rvest.html#find-the-css-selector
11.2.3,Extract the table,3,https://dcl-wrangle.stanford.edu/rvest.html#extract-the-table
